region	year	month	share
Уфа	2014	Апрель	0,014398045
Уфа	2014	Май	0,015331013
Уфа	2014	Июнь	0,018184304
Уфа	2014	Июль	0,020271662
Уфа	2014	Август	0,016331239
Уфа	2014	Сентябрь	0,012378092
Уфа	2014	Октябрь	0,009072599
Уфа	2014	Ноябрь	0,008172279
Уфа	2014	Декабрь	0,006163055
Уфа	2015	Январь	0,006993299
Уфа	2015	Февраль	0,007107285
Уфа	2015	Март	0,008816375
Уфа	2015	Апрель	0,010600218
Уфа	2015	Май	0,009993372
Уфа	2015	Июнь	0,012463579
Челябинск	2014	Январь	0,011711936
Челябинск	2014	Февраль	0,011950444
Челябинск	2014	Март	0,013786623
Челябинск	2014	Апрель	0,015498996
Челябинск	2014	Май	0,017099305
Челябинск	2014	Июнь	0,020701632
Челябинск	2014	Июль	0,020678077
Челябинск	2014	Август	0,01665408
Челябинск	2014	Сентябрь	0,013167196
Челябинск	2014	Октябрь	0,011256602
Челябинск	2014	Ноябрь	0,009732148
Челябинск	2014	Декабрь	0,007539343
Челябинск	2015	Январь	0,008715328
Челябинск	2015	Февраль	0,008563668
Челябинск	2015	Март	0,010873045
Челябинск	2015	Апрель	0,013020717
Челябинск	2015	Май	0,012054072
Челябинск	2015	Июнь	0,014289141
